id,key,value,type
244326017,highway,traffic_signals,regular
244372743,created_by,JOSM,regular
244375004,created_by,JOSM,regular
244383181,created_by,JOSM,regular
244383471,created_by,JOSM,regular
244487203,created_by,JOSM,regular
244487965,created_by,JOSM,regular
244489146,created_by,JOSM,regular
244489160,created_by,JOSM,regular
244490592,created_by,JOSM,regular
244490610,created_by,JOSM,regular
244490626,created_by,JOSM,regular
244490652,created_by,JOSM,regular
244490671,created_by,JOSM,regular
244490687,created_by,JOSM,regular
244490818,created_by,JOSM,regular
244492320,created_by,JOSM,regular
244492349,created_by,JOSM,regular
244492362,created_by,JOSM,regular
244492376,created_by,JOSM,regular
244492668,created_by,JOSM,regular
244500510,created_by,JOSM,regular
244500598,created_by,JOSM,regular
244500612,created_by,JOSM,regular
244501950,created_by,JOSM,regular
244505612,created_by,JOSM,regular
244505661,created_by,JOSM,regular
244505805,created_by,JOSM,regular
244505916,created_by,JOSM,regular
244893832,created_by,JOSM,regular
244893847,created_by,JOSM,regular
244918512,created_by,JOSM,regular
244918890,created_by,JOSM,regular
244918956,created_by,JOSM,regular
244921918,created_by,JOSM,regular
244930881,created_by,JOSM,regular
244930970,created_by,JOSM,regular
244931057,created_by,JOSM,regular
244931125,created_by,JOSM,regular
244936339,created_by,JOSM,regular
244936570,created_by,JOSM,regular
244945088,created_by,JOSM,regular
244945170,created_by,JOSM,regular
244952411,created_by,JOSM,regular
244954980,created_by,JOSM,regular
244957698,created_by,JOSM,regular
244963678,created_by,JOSM,regular
244990139,created_by,JOSM,regular
245174829,created_by,JOSM,regular
245198517,created_by,JOSM,regular
245242826,created_by,JOSM,regular
245242930,created_by,JOSM,regular
245243140,created_by,JOSM,regular
245243505,created_by,JOSM,regular
245373246,created_by,JOSM,regular
245373588,created_by,JOSM,regular
245378779,created_by,JOSM,regular
245404171,created_by,JOSM,regular
245568681,created_by,JOSM,regular
245568731,created_by,JOSM,regular
245568770,created_by,JOSM,regular
245576362,created_by,JOSM,regular
245586447,created_by,JOSM,regular
245933956,created_by,JOSM,regular
246121982,created_by,JOSM,regular
246123165,created_by,JOSM,regular
246125346,created_by,JOSM,regular
246128084,created_by,JOSM,regular
246132221,created_by,JOSM,regular
246132273,created_by,JOSM,regular
246134238,created_by,JOSM,regular
246140841,created_by,JOSM,regular
246140971,created_by,JOSM,regular
246141099,created_by,JOSM,regular
246141168,created_by,JOSM,regular
246144625,created_by,JOSM,regular
246144661,created_by,JOSM,regular
246144977,created_by,JOSM,regular
246158638,highway,traffic_signals,regular
246167918,created_by,JOSM,regular
246172463,created_by,JOSM,regular
246175079,created_by,JOSM,regular
246178950,created_by,JOSM,regular
246179202,created_by,JOSM,regular
246182064,created_by,JOSM,regular
246293825,created_by,JOSM,regular
246294569,created_by,JOSM,regular
246294583,created_by,JOSM,regular
246294767,highway,traffic_signals,regular
246579433,created_by,JOSM,regular
246579471,created_by,JOSM,regular
246579656,created_by,JOSM,regular
246579683,created_by,JOSM,regular
246579697,created_by,JOSM,regular
246579715,created_by,JOSM,regular
246579898,created_by,JOSM,regular
246579933,created_by,JOSM,regular
246579952,created_by,JOSM,regular
246579965,created_by,JOSM,regular
246580175,created_by,JOSM,regular
246580209,created_by,JOSM,regular
246580930,created_by,JOSM,regular
246580947,created_by,JOSM,regular
246582232,created_by,JOSM,regular
246621385,created_by,JOSM,regular
246621402,created_by,JOSM,regular
246621417,created_by,JOSM,regular
246621430,created_by,JOSM,regular
246629746,created_by,JOSM,regular
246629801,created_by,JOSM,regular
246629844,created_by,JOSM,regular
246631564,created_by,JOSM,regular
246752266,created_by,JOSM,regular
246800608,created_by,JOSM,regular
246957222,created_by,JOSM,regular
246957279,created_by,JOSM,regular
246967767,created_by,JOSM,regular
246967850,created_by,JOSM,regular
246974935,created_by,JOSM,regular
246986638,created_by,JOSM,regular
246986716,created_by,JOSM,regular
246986775,created_by,JOSM,regular
246989467,created_by,JOSM,regular
246989568,created_by,JOSM,regular
247008191,created_by,JOSM,regular
247008362,created_by,JOSM,regular
247045491,created_by,JOSM,regular
247045545,created_by,JOSM,regular
247183828,created_by,JOSM,regular
247189661,created_by,JOSM,regular
247189813,created_by,JOSM,regular
247211796,created_by,JOSM,regular
247430201,created_by,JOSM,regular
247432249,created_by,JOSM,regular
247432317,created_by,JOSM,regular
247432334,created_by,JOSM,regular
247640488,created_by,JOSM,regular
247640509,created_by,JOSM,regular
247643409,created_by,JOSM,regular
247643441,created_by,JOSM,regular
247643486,created_by,JOSM,regular
247643507,created_by,JOSM,regular
247643524,created_by,JOSM,regular
247643957,created_by,JOSM,regular
